"id","question","sparql"
"71","The concept of Distributed System Design belongs to which domain of study?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE { ?t dcterms:title ""Distributed System Design""^^xsd:string ; <http://purl.org/spar/fabio/hasDiscipline> ?c}"
"72","Name all the people affiliated with University of Delhi."," SELECT distinct ?c WHERE { ?c <http://www.w3.org/ns/org#memberOf> <https://makg.org/entity/110166357>}"
"73","How many papers cite Amala and Kamala?","SELECT distinct ?d WHERE { <https://makg.org/entity/2781170780> <https://makg.org/property/citationCount> ?d}"
"74","When were Support vector machines created?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?d WHERE {?t dcterms:title ""Support Vector Machines""^^xsd:string ; <http://purl.org/dc/terms/created> ?d }"
"75","Return all the cited entities of Support vector machines.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?d WHERE {?t dcterms:title ""Support Vector Machines""^^xsd:string . ?d <http://purl.org/spar/cito/hasCitedEntity> ?t} "
"76","How many papers did Hannah Jones publish?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?d WHERE {?n foaf:name ""Hannah Maria Jones""^^xsd:string; <https://makg.org/property/paperCount> ?d} "
"77","From where can I fetch information on Nata de coco?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?d WHERE {?t dcterms:title ""Nata De Coco""^^xsd:string ; <http://purl.org/spar/fabio/hasURL> ?d} "
"78","Name all the contributions of Makhlay Aa.","PREFIX dcterms: <http://purl.org/dc/terms/> SELECT distinct ?c WHERE {?c dcterms:creator <https://makg.org/entity/1148090236>}"
"79","What are all citations of viral hemorrhagic fevers?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE { ?t dcterms:title ""Viral Hemorrhagic Fevers""^^xsd:string . ?c <http://purl.org/spar/cito/cites> ?t }"
"80","Name the publisher of Red blood cell theory.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE { ?t dcterms:title ""A Theory for the Shape of the Red Blood Cell""^^xsd:string ; dcterms:publisher ?c}"
"81","What are key words used in Viral Hemorrhagic Fevers?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE { ?t dcterms:title ""Viral Hemorrhagic Fevers""^^xsd:string;  <http://prismstandard.org/namespaces/basic/2.0/keyword> ?c}"
"82","When was Stone's representation theorem first published?","SELECT distinct ?c WHERE {<https://makg.org/entity/2957775546> <http://prismstandard.org/namespaces/basic/2.0/publicationDate> ?c} "
"83","A Theory for the Shape of the Red Blood Cell is present in which journal?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE { ?t dcterms:title ""A Theory for the Shape of the Red Blood Cell""^^xsd:string ; <https://makg.org/property/appearsInJournal> ?c}"
"84","How many citations is Pediatric Blood & Cancer associated with?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c  WHERE {?t foaf:name ""Pediatric Blood & Cancer""^^xsd:string; <https://makg.org/property/citationCount> ?c} "
"85","Which papers have been published in the journal Intelligent Autonomous Vehicles?","SELECT distinct ?c WHERE {?c <https://makg.org/property/appearsInJournal> <https://makg.org/entity/2764465259>}"
"86","Who published Random forest behavioral classifiers?","SELECT distinct ?c WHERE { <https://makg.org/entity/3015881123> <http://purl.org/dc/terms/publisher> ?c}"
"87","How many citations are there on the work of University of Massachusetts Dartmouth?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?d WHERE { ?t foaf:name ""University of Massachusetts Dartmouth""^^xsd:string; <https://makg.org/property/citationCount> ?d}"
"88","What is the public medical ID of Dermoid-Expanded Endoscopic Two Nostrils Four Hand Technique?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?d WHERE {?c dcterms:title ""Above the Sphenoid in to Dermoid-Expanded Endoscopic Two Nostrils Four Hand Technique: A Case Report""^^xsd:string ;<http://purl.org/spar/fabio/hasPubMedId> ?d }"
"89","What is the website where I can find more insights on The Sterilization of the Unfit?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE {?h dcterms:title ""The Sterilization of the Unfit""^^xsd:string ; <http://purl.org/spar/fabio/hasURL> ?c }"
"90","How can I get more details about Jawaharlal Nehru Technological University, Hyderabad?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE {?n foaf:name ""Jawaharlal Nehru Technological University, Hyderabad""^^xsd:string; foaf:homepage ?c}"
"91","From where can we learn more on Combination ear protector and cheering aid?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?g WHERE {?t dcterms:title ""Combination ear protector and cheering aid""^^xsd:string; <http://purl.org/spar/fabio/hasURL> ?g}"
"92","Give the issue identifier of Out for blood.","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?n WHERE {?t dcterms:title ""Out for Blood""^^xsd:string; <http://prismstandard.org/namespaces/basic/2.0/issueIdentifier> ?n } "
"93","How many papers cite Intestinal perforations?","SELECT distinct ?g WHERE {<https://makg.org/entity/2911035981> <https://makg.org/property/citationCount> ?g}"
"94","What is the parent category of the Environmental Sustainability Index?","SELECT distinct ?g WHERE {<https://makg.org/entity/100129307> <https://makg.org/property/hasParent> ?g}"
"95","What is the url of Saw bit swage?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?g WHERE {?t dcterms:title ""Saw bit swage""^^xsd:string; <http://purl.org/spar/fabio/hasURL> ?g}"
"96","Which papers belong to the Lymphoepithelial cyst discipline?","SELECT distinct ?s WHERE {?s <http://purl.org/spar/fabio/hasDiscipline> <https://makg.org/entity/2910449395>} "
"97","How many papers cite Monomorphism?","SELECT distinct ?f WHERE {<https://makg.org/entity/100036529> <https://makg.org/property/citationCount> ?f}"
"98","What all papers cite The Sterilization of the Unfit?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX : <https://makg.org/class/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT distinct ?c WHERE {?h dcterms:title ""The Sterilization of the Unfit""^^xsd:string . ?c <http://purl.org/spar/cito/cites> ?h}"
"99","What keywords are associated with the Automotive deck lid actuator?","SELECT distinct ?n WHERE {<https://makg.org/entity/1008926> <http://prismstandard.org/namespaces/basic/2.0/keyword> ?n}"
